Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1409;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;315;135;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;25;183,4278543;
1410;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;315;135;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;25;195,5180229;
1411;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 25;216;144;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;25;131,4193657;
1412;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 25;216;144;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;25;141,0963886;
1413;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;216;144;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;25;150,7611914;
1414;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;216;144;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;25;160,4382143;
1415;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 25;252;168;420;966;810,6;1776,6;54;125,775;2412,485;25;151,41554;
1416;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 25;252;168;420;966;810,6;1776,6;60;138,63;2433,48;25;162,69318;
1417;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;252;168;420;966;810,6;1776,6;66;151,485;2454,485;25;173,98304;
1418;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;252;168;420;966;810,6;1776,6;72;164,34;2475,48;25;185,26068;
